食材名,kcal (kcal),P (g),F (g),C (g),Fiber (g),Ca (mg),Mg (mg),Fe (mg),Zn (mg),VitA (μg),VitD (μg),VitE (mg),VitC (mg),B1 (mg),B2 (mg),B6 (mg),B12 (μg),Folate (μg),Na (mg),K (mg)
くるみ,674,14.6,65.2,13.7,6.7,98,158,2.6,3.1,0,0,1.2,1.3,0.28,0.15,0.58,0,98,1,460
わかめ（乾燥）,138,18,4,41,35.7,150,107,2.7,1.2,500,0,1.2,0,0.05,0.06,0.02,0,30,180,520
アーモンドミルク,17,0.6,1.5,0.3,0.2,184,17,0.3,0.6,2,1,1,0,0.02,0.01,0.01,0,2,2,38
オートミール,380,13.7,5.7,69.1,9.4,47,128,3.9,2.4,0,0,0.6,0,0.49,0.15,0.1,0,30,3,260
トマト,19,0.7,0.1,4.7,1,7,6,0.2,0.1,450,0,0.9,15,0.05,0.02,0.07,0,12,1,210
ブルーベリー,49,0.4,0.1,12.9,2.4,6,6,0.2,0.1,54,0,0.6,9.7,0.02,0.02,0.05,0,6,1,77
ブロッコリー,33,4.3,0.5,5.2,4.4,38,26,1,0.5,810,0,2.9,120,0.12,0.16,0.23,0,120,10,180
ヨーグルト（プレーン）,62,3.6,3,5,0,120,12,0.1,0.4,15,0,0.1,0,0.03,0.14,0.04,0.3,5,50,180
緑茶,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
豆腐,56,5,3,1.7,0.4,55,50,1.2,0.4,0,0,0.4,0,0.07,0.06,0.09,0.1,15,1,150
雑穀ごはん,160,3.1,1,35.6,1.5,7,20,0.4,0.6,0,0,0.1,0,0.05,0.03,0.08,0,5,1,95
鯖,202,20.7,13.9,0.3,0,6,30,1.3,1.7,12,8.2,1.2,0,0.17,0.28,0.65,8.9,4,67,310
鶏むね肉（皮なし）,145,22.3,3.1,0,0,5,27,0.3,0.4,12,0,0.2,0,0.09,0.12,0.45,0.3,6,48,270
